name,team,pos,price,own_pct,default_proj,custom_avg,job_security,confidence,cs_score,notes,exclude
Reilly O'Brien,ADE,RUC,524200,0.784898,111,85,4,HIGH (if plays),,EMERGENCY for Adelaide. McAndrew has taken R1 ruck spot. O'Brien may return later but $524.2k price is now a TRAP. Do NOT select.,0
Lachlan McAndrew,ADE,RUC,119900,47.296,22,75,1,MEDIUM-HIGH,91,"AFL.com.au confirms No.1 ruck role at Adelaide. 91 SC in preseason. 25yo mature-ager, 96.8 avg in SANFL. REPLACES O'Brien as starting ruck. High ceiling if holds spot.",0
Sam Flanders,STK,FWD,396600,66.5384,66,75,2,HIGH,,"St Kilda recruit from Gold Coast. $396.6k mid-pricer, not basement. 95 SC in preseason. Experienced player in new system.",0
Jagga Smith,CAR,MID,119900,81.4087,22,72,1,HIGH,126,"Named in Carlton Opening Round team. 126 SC in preseason (37 disp, 1 goal). Former top-10 pick with elite disposal. Best rookie in the game.",0
Mattaes Phillipou,STK,FWD,168400,62.6511,21,62,2,MEDIUM,85,85 SC in preseason. FWD at St Kilda. Year 3 breakout candidate. 168.4k is cheap for his upside.,0
Dyson Sharp,ESS,MID,149500,62.5146,28,58,2,MEDIUM,65,In Essendon predicted 23. MID role at strong club. High ownership (62.5%) reflects consensus on quality. Steady cash generator.,0
Lachy Dovaston,NTH,FWD,136000,18.6851,25,58,2,MEDIUM,99,"In North predicted 23. 99 SC in preseason, kicked 2 goals. Fwd role at rebuilding club. Good scoring role but job security depends on form.",0
Zeke Uwland,GCS,DEF/MID,199000,42.2486,37,58,1,MEDIUM,62,Confirmed for Gold Coast Opening Round. DEF/MID DPP. Half-back/wing role. Academy product with 103 avg in Talent League 2024.,0
Jacob Farrow,ESS,DEF/MID,163000,31.1476,30,55,2,MEDIUM,68,In Essendon predicted 23. DEF/MID DPP. Impressive preseason. Playing across half-back.,0
Jai Serong,SYD,DEF,119900,61.1241,28,55,1,MEDIUM,55,Named in Sydney Opening Round team. Former Hawk traded to Swans. Playing halfback role. Solid but not spectacular preseason.,0
